epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6871.9,1.48496,0.74426,1.10295,0.88452,0.82467,0.89996,0.52898,1.35625,0.66608,1.04101,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6997.6,1.48993,0.74499,1.10388,0.8811,0.83061,0.90119,0.52904,1.35995,0.66431,1.04238,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7122.54,1.47473,0.73559,1.09802,0.87863,0.82722,0.90055,0.52937,1.34971,0.66074,1.03692,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7245.98,1.48004,0.7398,1.09785,0.88168,0.82941,0.90295,0.53401,1.33964,0.65393,1.03332,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7364.39,1.47602,0.73394,1.09443,0.87527,0.83374,0.90297,0.53179,1.34286,0.65597,1.03556,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7487.09,1.46708,0.73024,1.09306,0.88163,0.83457,0.90583,0.53405,1.3462,0.64651,1.03748,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7603.47,1.46244,0.72656,1.09152,0.8828,0.83127,0.90401,0.53575,1.33491,0.64933,1.03203,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7720.4,1.45205,0.71964,1.08708,0.88432,0.83251,0.90426,0.53662,1.33703,0.64826,1.03094,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7835.37,1.44697,0.71498,1.08357,0.88572,0.83375,0.90673,0.54036,1.32897,0.63901,1.02773,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7950.04,1.4417,0.71499,1.08308,0.88693,0.83685,0.90786,0.54173,1.32547,0.63958,1.02679,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8065.81,1.4432,0.71288,1.08148,0.88739,0.83762,0.90852,0.54192,1.32312,0.63629,1.02542,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8189.07,1.43854,0.70942,1.07818,0.88485,0.83903,0.90945,0.54315,1.32292,0.63288,1.02382,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8307.79,1.43661,0.70844,1.07636,0.88537,0.84249,0.91032,0.54329,1.31984,0.63065,1.02325,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8428.54,1.42468,0.70456,1.07696,0.88837,0.83713,0.91076,0.54128,1.32466,0.63176,1.02671,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8551.36,1.42036,0.69912,1.07239,0.8864,0.84534,0.91176,0.54479,1.31246,0.62548,1.02285,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8679.1,1.41513,0.6939,1.06788,0.89221,0.83795,0.91152,0.54594,1.31282,0.62402,1.02166,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8807.2,1.41925,0.69692,1.07077,0.89298,0.84266,0.91286,0.54771,1.30691,0.62225,1.02125,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8936.17,1.41246,0.69117,1.06633,0.88535,0.84868,0.9131,0.54917,1.30835,0.62039,1.02228,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9063.25,1.40424,0.69,1.06477,0.89105,0.84464,0.91491,0.5498,1.30575,0.61822,1.01981,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9179.92,1.40709,0.6904,1.06758,0.89026,0.84538,0.91311,0.55108,1.29879,0.61768,1.01736,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9303.63,1.39142,0.68056,1.0647,0.88954,0.85052,0.91418,0.55372,1.29288,0.61391,1.01457,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9423.31,1.39084,0.68158,1.05988,0.88793,0.84653,0.91281,0.5526,1.29493,0.61339,1.01366,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9541.31,1.39,0.68073,1.05763,0.88578,0.85033,0.91392,0.55311,1.29504,0.61473,1.01526,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9658.81,1.38936,0.68121,1.06089,0.88643,0.85223,0.91553,0.5557,1.2906,0.61147,1.01317,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9776.06,1.37651,0.6733,1.05984,0.88899,0.85305,0.91589,0.55554,1.29026,0.61015,1.01346,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9892.01,1.37992,0.67174,1.05211,0.89225,0.85149,0.91616,0.55644,1.28719,0.61004,1.01305,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10006.7,1.36661,0.66654,1.05168,0.89003,0.85275,0.91705,0.55781,1.28474,0.60847,1.01081,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10120.8,1.36314,0.66497,1.0526,0.89284,0.85445,0.91682,0.55801,1.28545,0.60767,1.01013,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10232.8,1.37198,0.66703,1.05113,0.89277,0.85454,0.91736,0.55799,1.28581,0.60581,1.00978,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10344.6,1.36227,0.66373,1.0473,0.89175,0.85506,0.91686,0.55737,1.28367,0.60511,1.00926,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10457.4,1.35601,0.66203,1.04353,0.89093,0.85663,0.91761,0.55775,1.28343,0.60457,1.00923,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10570,1.36605,0.66192,1.04477,0.89289,0.85429,0.91805,0.55893,1.28141,0.60413,1.00869,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10682.3,1.35293,0.6578,1.04442,0.89384,0.8514,0.91831,0.55906,1.28089,0.60371,1.00785,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10795.1,1.34835,0.65308,1.04144,0.89609,0.8531,0.91904,0.55941,1.27962,0.60298,1.00744,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10907.6,1.34583,0.65214,1.03897,0.89648,0.8514,0.91897,0.55978,1.27871,0.60141,1.00713,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11020,1.34324,0.65217,1.03775,0.8927,0.85322,0.91806,0.55871,1.28032,0.60089,1.00765,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11133,1.34027,0.65001,1.03697,0.8922,0.85718,0.91847,0.55922,1.27847,0.60009,1.00704,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11245.7,1.33133,0.64354,1.03331,0.89341,0.85544,0.91873,0.5598,1.27651,0.60006,1.00676,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11358.1,1.3293,0.64428,1.03636,0.8945,0.85626,0.91844,0.55949,1.2758,0.59947,1.00687,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11469.8,1.32278,0.6403,1.03157,0.89384,0.85512,0.91842,0.55999,1.27366,0.59863,1.00604,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11582.1,1.32497,0.63975,1.03162,0.89198,0.85643,0.91879,0.56063,1.27179,0.59788,1.00535,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11693.9,1.32141,0.63986,1.02959,0.89245,0.85652,0.91865,0.56119,1.27104,0.59708,1.00508,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11806.6,1.31632,0.63697,1.02802,0.89391,0.85444,0.91865,0.56129,1.26993,0.59652,1.00473,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11919.7,1.31566,0.63442,1.02884,0.89389,0.85492,0.91842,0.56155,1.26994,0.59602,1.00466,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12032.8,1.30402,0.62776,1.02274,0.89513,0.85566,0.91903,0.56229,1.2688,0.59491,1.00442,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12145.8,1.31061,0.63132,1.02317,0.89439,0.85525,0.91886,0.56245,1.26778,0.59372,1.0041,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12258.4,1.30763,0.62918,1.02425,0.89482,0.85425,0.91837,0.56224,1.26728,0.59275,1.00392,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12370.4,1.29833,0.62454,1.02197,0.89649,0.85289,0.91877,0.5625,1.26667,0.5923,1.00357,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12482.5,1.29043,0.62237,1.01964,0.89574,0.85343,0.91895,0.5627,1.26578,0.5921,1.00329,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
